Market Cap Rank,S.No.,Name,Ticker,Industry,YFinance Ticker,Screener URL,Market Cap As Of,Market Cap Source,Market Cap Cr
71,212,Bank of Baroda,BANKBARODA,Banks,BANKBARODA.NS,https://www.screener.in/company/BANKBARODA/consolidated/,2026-07-16,Saved Screener.in FII scan,141773.0
72,167,Power Fin.Corpn.,PFC,Financial Services,PFC.NS,https://www.screener.in/company/PFC/consolidated/,2026-07-16,Saved Screener.in FII scan,140650.0
73,90,Hitachi Energy,POWERINDIA,Capital Goods,POWERINDIA.NS,https://www.screener.in/company/POWERINDIA/consolidated/,2026-09-23,Yahoo Finance,138842.91
74,67,Tech Mahindra,TECHM,IT,TECHM.NS,https://www.screener.in/company/TECHM/consolidated/,2026-07-16,Saved Screener.in FII scan,137948.0
75,211,Union Bank (I),UNIONBANK,Banks,UNIONBANK.NS,https://www.screener.in/company/UNIONBANK/consolidated/,2026-07-16,Saved Screener.in FII scan,132367.0
76,111,B P C L,BPCL,Oil & Gas,BPCL.NS,https://www.screener.in/company/BPCL/consolidated/,2026-07-16,Saved Screener.in FII scan,131782.0
77,86,Tata Motors PVeh,TMPV,Automobile,TMPV.NS,https://www.screener.in/company/TMPV/consolidated/,2026-07-16,Saved Screener.in FII scan,130732.0
78,32,Billionbrains,GROWW,,GROWW.NS,https://www.screener.in/company/GROWW/consolidated/,2026-07-16,Saved Screener.in FII scan,129550.0
79,115,Siemens,SIEMENS,Capital Goods,SIEMENS.NS,https://www.screener.in/company/SIEMENS/consolidated/,2026-07-16,Saved Screener.in FII scan,128524.0
80,10,GE Vernova T&D,GVT&D,Capital Goods,GVT&D.NS,https://www.screener.in/company/GVT&D/consolidated/,2026-07-16,Saved Screener.in FII scan,127974.0
81,163,HDFC Life Insur.,HDFCLIFE,Insurance,HDFCLIFE.NS,https://www.screener.in/company/HDFCLIFE/consolidated/,2026-07-16,Saved Screener.in FII scan,125124.0
82,108,Apollo Hospitals,APOLLOHOSP,Healthcare,APOLLOHOSP.NS,https://www.screener.in/company/APOLLOHOSP/consolidated/,2026-07-16,Saved Screener.in FII scan,124912.0
83,13,Britannia Inds.,BRITANNIA,FMCG,BRITANNIA.NS,https://www.screener.in/company/BRITANNIA/consolidated/,2026-07-16,Saved Screener.in FII scan,123752.0
84,154,Tata Power Co.,TATAPOWER,Power,TATAPOWER.NS,https://www.screener.in/company/TATAPOWER/consolidated/,2026-07-16,Saved Screener.in FII scan,123244.0
85,210,Punjab Natl.Bank,PNB,Banks,PNB.NS,https://www.screener.in/company/PNB/consolidated/,2026-07-16,Saved Screener.in FII scan,122687.0
86,139,Muthoot Finance,MUTHOOTFIN,Financial Services,MUTHOOTFIN.NS,https://www.screener.in/company/MUTHOOTFIN/consolidated/,2026-07-16,Saved Screener.in FII scan,121019.0
87,69,Cipla,CIPLA,Pharmaceuticals,CIPLA.NS,https://www.screener.in/company/CIPLA/consolidated/,2026-07-16,Saved Screener.in FII scan,118996.0
88,199,GMR Airports,GMRAIRPORT,Infrastructure,GMRAIRPORT.NS,https://www.screener.in/company/GMRAIRPORT/consolidated/,2026-07-16,Saved Screener.in FII scan,118894.0
89,79,Bosch,BOSCHLTD,Auto Ancillaries,BOSCHLTD.NS,https://www.screener.in/company/BOSCHLTD/consolidated/,2026-07-16,Saved Screener.in FII scan,118191.0
90,166,Bajaj Holdings,BAJAJHLDNG,Financial Services,BAJAJHLDNG.NS,https://www.screener.in/company/BAJAJHLDNG/consolidated/,2026-07-16,Saved Screener.in FII scan,116410.0
91,9,LG Electronics,LGEINDIA,,LGEINDIA.NS,https://www.screener.in/company/LGEINDIA/consolidated/,2026-09-23,Yahoo Finance,114997.62
92,128,GAIL (India),GAIL,Gas,GAIL.NS,https://www.screener.in/company/GAIL/consolidated/,2026-07-16,Saved Screener.in FII scan,114571.0
93,5,Siemens Ener.Ind,ENRIN,Capital Goods,ENRIN.NS,https://www.screener.in/company/ENRIN/consolidated/,2026-09-23,Yahoo Finance,114471.37
94,22,HDFC AMC,HDFCAMC,Financial Services,HDFCAMC.NS,https://www.screener.in/company/HDFCAMC/consolidated/,2026-07-16,Saved Screener.in FII scan,113600.0
95,71,Dr Reddy's Labs,DRREDDY,Pharmaceuticals,DRREDDY.NS,https://www.screener.in/company/DRREDDY/consolidated/,2026-07-16,Saved Screener.in FII scan,113558.0
96,200,Canara Bank,CANBK,Banks,CANBK.NS,https://www.screener.in/company/CANBK/consolidated/,2026-07-16,Saved Screener.in FII scan,113338.0
97,63,Zydus Lifesci.,ZYDUSLIFE,Pharmaceuticals,ZYDUSLIFE.NS,https://www.screener.in/company/ZYDUSLIFE/consolidated/,2026-07-16,Saved Screener.in FII scan,112794.0
98,120,Max Healthcare,MAXHEALTH,Healthcare,MAXHEALTH.NS,https://www.screener.in/company/MAXHEALTH/consolidated/,2026-07-16,Saved Screener.in FII scan,111529.0
99,77,Lupin,LUPIN,Pharmaceuticals,LUPIN.NS,https://www.screener.in/company/LUPIN/consolidated/,2026-07-16,Saved Screener.in FII scan,110387.0
100,209,Indian Bank,INDIANB,Banks,INDIANB.NS,https://www.screener.in/company/INDIANB/consolidated/,2026-07-16,Saved Screener.in FII scan,109663.0
101,60,Vedanta,VEDL,Metals,VEDL.NS,https://www.screener.in/company/VEDL/consolidated/,2026-07-16,Saved Screener.in FII scan,109647.0
102,156,Jindal Steel,JINDALSTEL,Metals,JINDALSTEL.NS,https://www.screener.in/company/JINDALSTEL/consolidated/,2026-07-16,Saved Screener.in FII scan,108787.0
103,19,Marico,MARICO,FMCG,MARICO.NS,https://www.screener.in/company/MARICO/consolidated/,2026-07-16,Saved Screener.in FII scan,108740.0
104,175,Aditya Birla Cap,ABCAPITAL,Financial Services,ABCAPITAL.NS,https://www.screener.in/company/ABCAPITAL/consolidated/,2026-07-16,Saved Screener.in FII scan,107236.0
105,207,JSW Energy,JSWENERGY,Power,JSWENERGY.NS,https://www.screener.in/company/JSWENERGY/consolidated/,2026-07-16,Saved Screener.in FII scan,106498.0
106,176,Tata Consumer,TATACONSUM,FMCG,TATACONSUM.NS,https://www.screener.in/company/TATACONSUM/consolidated/,2026-07-16,Saved Screener.in FII scan,106288.0
107,47,LTM,LTM,IT,LTM.NS,https://www.screener.in/company/LTM/consolidated/,2026-07-16,Saved Screener.in FII scan,105953.0
108,221,I R F C,IRFC,Financial Services,IRFC.NS,https://www.screener.in/company/IRFC/consolidated/,2026-09-23,Yahoo Finance,105854.9
109,159,Ambuja Cements,AMBUJACEM,Cement,AMBUJACEM.NS,https://www.screener.in/company/AMBUJACEM/consolidated/,2026-07-16,Saved Screener.in FII scan,104959.0
110,113,Mankind Pharma,MANKIND,Pharmaceuticals,MANKIND.NS,https://www.screener.in/company/MANKIND/consolidated/,2026-07-16,Saved Screener.in FII scan,104430.0
111,49,Indus Towers,INDUSTOWER,Telecom,INDUSTOWER.NS,https://www.screener.in/company/INDUSTOWER/consolidated/,2026-07-16,Saved Screener.in FII scan,103719.0
112,92,Godrej Consumer,GODREJCP,FMCG,GODREJCP.NS,https://www.screener.in/company/GODREJCP/consolidated/,2026-07-16,Saved Screener.in FII scan,103348.0
113,145,Bharat Forge,BHARATFORG,Auto Ancillaries,BHARATFORG.NS,https://www.screener.in/company/BHARATFORG/consolidated/,2026-07-16,Saved Screener.in FII scan,102454.0
114,105,Indian Hotels Co,INDHOTEL,Hospitality,INDHOTEL.NS,https://www.screener.in/company/INDHOTEL/consolidated/,2026-07-16,Saved Screener.in FII scan,102025.0
115,29,Lloyds Metals,LLOYDSME,Metals,LLOYDSME.NS,https://www.screener.in/company/LLOYDSME/consolidated/,2026-07-16,Saved Screener.in FII scan,101093.0
116,21,Mazagon Dock,MAZDOCK,Shipbuilding,MAZDOCK.NS,https://www.screener.in/company/MAZDOCK/consolidated/,2026-07-16,Saved Screener.in FII scan,100968.0
117,56,United Spirits,UNITDSPR,Beverages,UNITDSPR.NS,https://www.screener.in/company/UNITDSPR/consolidated/,2026-07-16,Saved Screener.in FII scan,98251.0
