Ticker,Name,Industry,Nifty 500,Nifty MidSmallcap 400,Nifty Smallcap 250,Nifty Midcap 150
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,True,True,True,False
EIHOTEL,EIH Ltd.,Consumer Services,True,True,True,False
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,True,True,True,False
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,True,True,True,False
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,True,True,True,False
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,True,True,True,False
EMMVEE,Emmvee Photovoltaic Power Ltd.,Capital Goods,True,True,True,False
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,True,True,False,True
ENGINERSIN,Engineers India Ltd.,Construction,True,True,True,False
ENRIN,Siemens Ener.Ind,Capital Goods,True,False,False,False
ERIS,Eris Lifesciences Ltd.,Healthcare,True,True,True,False
ESCORTS,Escorts Kubota Ltd.,Capital Goods,True,True,False,True
ETERNAL,Eternal,,True,False,False,False
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,True,True,False,True
FACT,F A C T,Fertilizers,True,True,True,False
FEDERALBNK,Federal Bank,Banks,True,True,False,True
FINCABLES,Finolex Cables Ltd.,Capital Goods,True,True,True,False
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,True,True,True,False
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,True,True,True,False
FLUOROCHEM,Gujarat Fluoroch,Chemicals,True,True,False,True
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,True,True,True,False
FORTIS,Fortis Health.,Healthcare,True,True,False,True
FSL,Firstsource Solutions Ltd.,Services,True,True,True,False
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,True,True,True,False
GAIL,GAIL (India),Gas,True,False,False,False
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,True,True,True,False
GESHIP,Great Eastern Shipping Co. Ltd.,Services,True,True,True,False
GICRE,General Insuranc,Insurance,True,True,False,True
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,True,True,True,False
GLAND,Gland Pharma Ltd.,Healthcare,True,True,True,False
GLAXO,Glaxosmi. Pharma,Pharmaceuticals,True,True,False,True
GLENMARK,Glenmark Pharma.,Pharmaceuticals,True,True,False,True
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,True,True,True,False
GMRAIRPORT,GMR Airports,Infrastructure,True,True,False,True
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,True,True,False,True
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,True,True,True,False
GODREJCP,Godrej Consumer,FMCG,True,False,False,False
GODREJIND,Godrej Industries Ltd.,Diversified,True,True,False,True
GODREJPROP,Godrej Propert.,Real Estate,True,True,False,True
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,True,True,True,False
GRANULES,Granules India Ltd.,Healthcare,True,True,True,False
GRAPHITE,Graphite India Ltd.,Capital Goods,True,True,True,False
GRASIM,Grasim Inds,Cement,True,False,False,False
GRAVITA,Gravita India Ltd.,Metals & Mining,True,True,True,False
GROWW,Billionbrains,,True,True,False,True
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,True,True,True,False
GVT&D,GE Vernova T&D,Capital Goods,True,True,False,True
HAL,Hind.Aeronautics,Aerospace & Defence,True,False,False,False
HAVELLS,Havells India,Consumer Durables,True,True,False,True
HBLENGINE,HBL Engineering Ltd.,Capital Goods,True,True,True,False
HCLTECH,HCL Technologies,IT,True,False,False,False
HDBFS,HDB FINANC SER,Financial Services,True,True,False,True
HDFCAMC,HDFC AMC,Financial Services,True,False,False,False
HDFCBANK,HDFC Bank,Banks,True,False,False,False
HDFCLIFE,HDFC Life Insur.,Insurance,True,False,False,False
HEG,H.E.G. Ltd.,Capital Goods,True,True,True,False
HEROMOTOCO,Hero Motocorp,Automobile,True,True,False,True
HEXT,Hexaware Technologies Ltd.,Information Technology,True,True,False,True
HFCL,HFCL Ltd.,Telecommunication,True,True,True,False
HINDALCO,Hindalco Inds.,Metals,True,False,False,False
HINDCOPPER,Hindustan Copper,Metals,True,True,True,False
HINDPETRO,H P C L,Oil & Gas,True,True,False,True
HINDUNILVR,Hind. Unilever,FMCG,True,False,False,False
HINDZINC,Hindustan Zinc,Metals & Mining,True,False,False,False
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,True,True,True,False
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,True,True,True,False
HONAUT,Honeywell Automation India Ltd.,Capital Goods,True,True,False,True
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,True,True,True,False
HUDCO,H U D C O,Financial Services,True,True,False,True
HYUNDAI,Hyundai Motor I,Automobile,True,False,False,False
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,True,True,False,True
ICICIBANK,ICICI Bank,Banks,True,False,False,False
ICICIGI,ICICI Lombard,Insurance,True,True,False,True
ICICIPRULI,ICICI AMC,Insurance,True,True,False,True
IDBI,IDBI Bank,Banks,True,True,True,False
IDEA,Vodafone Idea,Telecom,True,True,False,True
IDFCFIRSTB,IDFC First Bank,Banks,True,True,False,True
IEX,Indian Energy Exchange Ltd.,Financial Services,True,True,True,False
IFCI,IFCI Ltd.,Financial Services,True,True,True,False
IGIL,International Gemmological Institute (India) Ltd.,Services,True,True,True,False
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,True,True,True,False
IIFL,IIFL Finance Ltd.,Financial Services,True,True,True,False
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,True,True,True,False
INDGN,Indegene Ltd.,Healthcare,True,True,True,False
INDHOTEL,Indian Hotels Co,Hospitality,True,False,False,False
INDIACEM,India Cements Ltd.,Construction Materials,True,True,True,False
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,True,True,True,False
INDIANB,Indian Bank,Banks,True,True,False,True
INDIGO,Interglobe Aviat,Airlines,True,False,False,False
INDUSINDBK,IndusInd Bank,Banks,True,True,False,True
INDUSTOWER,Indus Towers,Telecom,True,True,False,True
INFY,Infosys,IT,True,False,False,False
INOXWIND,Inox Wind Ltd.,Capital Goods,True,True,True,False
INTELLECT,Intellect Design Arena Ltd.,Information Technology,True,True,True,False
IOB,I O B,Banks,True,True,True,False
IOC,I O C L,Oil & Gas,True,False,False,False
IPCALAB,Ipca Labs.,Pharmaceuticals,True,True,False,True
IRB,IRB Infrastructure Developers Ltd.,Construction,True,True,True,False
IRCON,IRCON International Ltd.,Construction,True,True,True,False
IRCTC,I R C T C,Tourism & Hospitality,True,True,False,True
IREDA,Indian Renewable,Financial Services,True,True,False,True
IRFC,I R F C,Financial Services,True,False,False,False
ITC,ITC,FMCG,True,False,False,False
ITCHOTELS,ITC Hotels Ltd.,Consumer Services,True,True,False,True
ITI,ITI Ltd.,Telecommunication,True,True,True,False
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,True,True,True,False
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,True,True,True,False
JBMA,JBM Auto Ltd.,Automobile and Auto Components,True,True,True,False
JINDALSAW,Jindal Saw Ltd.,Capital Goods,True,True,True,False
JINDALSTEL,Jindal Steel,Metals,True,False,False,False
JIOFIN,Jio Financial,Financial Services,True,False,False,False
JKCEMENT,J K Cements,Cement,True,True,False,True
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,True,True,True,False
JMFINANCIL,JM Financial Ltd.,Financial Services,True,True,True,False
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,True,True,True,False
JSL,Jindal Stain.,Metals,True,True,False,True
JSWCEMENT,JSW Cement Ltd.,Construction Materials,True,True,True,False
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,True,True,True,False
JSWENERGY,JSW Energy,Power,True,True,False,True
JSWINFRA,JSW Infrast,Infrastructure,True,True,False,True
JSWSTEEL,JSW Steel,Metals,True,False,False,False
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,True,True,False,True
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,True,True,True,False
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,True,True,True,False
JWL,Jupiter Wagons Ltd.,Capital Goods,True,True,True,False
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,True,True,True,False
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,True,True,True,False
KALYANKJIL,Kalyan Jewellers,Retail,True,True,False,True
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,True,True,True,False
KAYNES,Kaynes Technology India Ltd.,Capital Goods,True,True,True,False
KEC,Kec International Ltd.,Construction,True,True,True,False
KEI,KEI Industries,Capital Goods,True,True,False,True
KFINTECH,Kfin Technologies Ltd.,Financial Services,True,True,True,False
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,True,True,True,False
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,True,True,True,False
KOTAKBANK,Kotak Mah. Bank,Banks,True,False,False,False
KPIL,Kalpataru Projects International Ltd.,Construction,True,True,True,False
KPITTECH,KPIT Technologies Ltd.,Information Technology,True,True,False,True
KPRMILL,K.P.R. Mill Ltd.,Textiles,True,True,False,True
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,True,True,True,False
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,True,True,True,False
LAURUSLABS,Laurus Labs,Pharmaceuticals,True,True,False,True
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,True,True,True,False
LENSKART,Lenskart Solut.,,True,True,False,True
LGEINDIA,LG Electronics,,True,True,False,True
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,True,True,False,True
LICI,Life Insurance,Insurance,True,True,False,True
LINDEINDIA,Linde India,Chemicals,True,True,False,True
LLOYDSME,Lloyds Metals,Metals,True,True,False,True
LODHA,Lodha Developers,Real Estate,True,False,False,False
LT,Larsen & Toubro,Construction,True,False,False,False
LTF,L&T Finance Ltd,Financial Services,True,True,False,True
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,True,True,True,False
LTM,LTM,IT,True,False,False,False
LTTS,L&T Technology Services Ltd.,Information Technology,True,True,False,True
LUPIN,Lupin,Pharmaceuticals,True,True,False,True
M&M,M & M,Automobile,True,False,False,False
M&MFIN,M & M Fin. Serv.,Financial Services,True,True,False,True
MAHABANK,Bank of Maha,Banks,True,True,False,True
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,True,True,True,False
MANKIND,Mankind Pharma,Pharmaceuticals,True,True,False,True
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,True,True,True,False
MARICO,Marico,FMCG,True,True,False,True
MARUTI,Maruti Suzuki,Automobile,True,False,False,False
MAXHEALTH,Max Healthcare,Healthcare,True,False,False,False
MAZDOCK,Mazagon Dock,Shipbuilding,True,False,False,False
MCX,Multi Comm. Exc.,Financial Services,True,True,False,True
MEDANTA,Global Health Ltd.,Healthcare,True,True,False,True
MEESHO,Meesho,,True,True,True,False
MFSL,Max Financial,Insurance,True,True,False,True
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,True,True,True,False
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,True,True,True,False
MMTC,MMTC Ltd.,Services,True,True,True,False
MOTHERSON,Samvardh. Mothe.,Auto Ancillaries,True,False,False,False
MOTILALOFS,Motil.Oswal.Fin.,Financial Services,True,True,False,True
MPHASIS,Mphasis,IT,True,True,False,True
MRF,MRF,Auto Ancillaries,True,True,False,True
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,True,True,True,False
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,True,True,True,False
MUTHOOTFIN,Muthoot Finance,Financial Services,True,False,False,False
NAM-INDIA,Nippon Life Ind.,Financial Services,True,True,False,True
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,True,True,True,False
NATIONALUM,Natl. Aluminium,Metals,True,True,False,True
NAUKRI,Info Edg.(India),IT,True,True,False,True
NAVA,Nava Ltd.,Power,True,True,True,False
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,True,True,True,False
NBCC,NBCC (India) Ltd.,Construction,True,True,True,False
NCC,NCC Ltd.,Construction,True,True,True,False
NESTLEIND,Nestle India,FMCG,True,False,False,False
NETWEB,Netweb Technologies India Ltd.,Information Technology,True,True,True,False
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,True,True,True,False
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,True,True,True,False
NH,Narayana Hrudayalaya Ltd.,Healthcare,True,True,True,False
NHPC,NHPC Ltd,Power,True,True,False,True
NIACL,The New India Assurance Company Ltd.,Financial Services,True,True,False,True
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,True,True,True,False
NLCINDIA,NLC India,Power,True,True,False,True
NMDC,NMDC,Mining,True,True,False,True
NSLNISP,NMDC Steel Ltd.,Metals & Mining,True,True,True,False
NTPC,NTPC,Power,True,False,False,False
NTPCGREEN,NTPC Green Ene.,Power,True,True,False,True
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,True,True,True,False
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,True,True,True,False
NYKAA,FSN E-Commerce,Retail,True,True,False,True
OBEROIRLTY,Oberoi Realty,Real Estate,True,True,False,True
OFSS,Oracle Fin.Serv.,IT,True,True,False,True
OIL,Oil India,Oil & Gas,True,True,False,True
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,True,True,True,False
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,True,True,True,False
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,True,True,True,False
ONGC,O N G C,Oil & Gas,True,False,False,False
PAGEIND,Page Industries,Textiles,True,True,False,True
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,True,True,True,False
PATANJALI,Patanjali Foods,FMCG,True,True,False,True
PAYTM,One 97,Financial Services,True,True,False,True
PCBL,PCBL Chemical Ltd.,Chemicals,True,True,True,False
PERSISTENT,Persistent Systems,IT,True,True,False,True
PETRONET,Petronet LNG,Oil & Gas,True,True,False,True
PFC,Power Fin.Corpn.,Financial Services,True,False,False,False
PFIZER,Pfizer Ltd.,Healthcare,True,True,True,False
PFOCUS,Prime Focus Ltd.,Media Entertainment & Publication,True,True,True,False
PGEL,PG Electroplast Ltd.,Consumer Durables,True,True,True,False
PHOENIXLTD,Phoenix Mills,Real Estate,True,True,False,True
PIDILITIND,Pidilite Inds.,Chemicals,True,False,False,False
